# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	2.575348e-02	2.576269e-02	2.576007e-02
0.05         	walls	5.906392e-03	3.357996e-01	1.212258e-01
0.1          	walls	3.595943e-02	3.357081e-01	1.116685e-01
0.15         	walls	5.498268e-02	3.356936e-01	1.038010e-01
0.2          	walls	3.988332e-02	3.356936e-01	1.018667e-01
0.25         	walls	3.939771e-02	3.356936e-01	1.018997e-01
0.3          	walls	3.936773e-02	3.356936e-01	1.018992e-01
0.35         	walls	3.936725e-02	3.356936e-01	1.018993e-01
0.4          	walls	3.936723e-02	3.356936e-01	1.018993e-01
0.45         	walls	3.936723e-02	3.356936e-01	1.018993e-01
0.5          	walls	3.936723e-02	3.356936e-01	1.018993e-01
0.55         	walls	3.936723e-02	3.356936e-01	1.018993e-01
0.6          	walls	3.936723e-02	3.356936e-01	1.018993e-01
0.65         	walls	3.936723e-02	3.356936e-01	1.018993e-01
0.691553     	walls	3.936723e-02	3.356936e-01	1.018993e-01
