# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	6.020290e-02	6.022519e-02	6.022021e-02
0.05         	walls	8.134407e-02	1.118884e+00	4.847702e-01
0.1          	walls	2.126918e-01	1.118845e+00	4.447662e-01
0.15         	walls	2.142183e-01	1.118845e+00	4.448067e-01
0.2          	walls	2.142153e-01	1.118845e+00	4.448067e-01
0.25         	walls	2.142153e-01	1.118845e+00	4.448067e-01
0.3          	walls	2.142153e-01	1.118845e+00	4.448067e-01
0.35         	walls	2.142153e-01	1.118845e+00	4.448067e-01
0.4          	walls	2.142153e-01	1.118845e+00	4.448067e-01
0.45         	walls	2.142153e-01	1.118845e+00	4.448067e-01
0.5          	walls	2.142153e-01	1.118845e+00	4.448067e-01
